PERIODO,TERRITORIO,PATOLOGIA,MASCHI,FEMMINE
2009-2017,084029,Malformazioni congenite del sistema nervoso,1,0
2009-2017,084029,"Sintomi, segni, risultati anomali e cause mal definite",11,15
2009-2017,084029,Cause esterne di traumatismo e avvelenamento,12,2
2009-2017,084029,Accidenti,5,2
2009-2017,084029,Accidenti di trasporto,2,0
2009-2017,084029,Cadute accidentali,2,2
2009-2017,084029,Suicidio e autolesione intenzionale,7,0
2009-2017,084030,Malattie infettive e parassitarie,2,1
2009-2017,084030,Tumore,170,110
2009-2017,084030,Tumori maligni,168,106
2009-2017,084030,"Tumori maligni delle labbra, cavità orale e faringe",4,2
2009-2017,084030,Tumori maligni dell'esofago,1,1
2009-2017,084030,Tumori maligni dello stomaco,13,14
2009-2017,084030,Tumori maligni del colon,18,20
2009-2017,084030,Tumori maligni del retto e dell'ano,2,0
2009-2017,084030,Tumori maligni del fegato e dei dotti biliari intraepatici,12,4
2009-2017,084030,Tumori maligni del pancreas,10,2
2009-2017,084030,Tumori maligni della laringe e della trachea/bronchi/polm.,45,8
2009-2017,084030,Tumori maligni della cute,1,0
2009-2017,084030,Tumori maligni del seno,0,20
2009-2017,084030,Tumori maligni di altre parti dell'utero,0,6
2009-2017,084030,Tumori maligni dell'ovaio,0,2
2009-2017,084030,Tumori maligni della prostata,14,0
2009-2017,084030,Tumori maligni del rene,1,1
2009-2017,084030,Tumori maligni della vescica,9,3
2009-2017,084030,Tumori maligni del tessuto linfatico/ematopoietico,11,6
2009-2017,084030,Mal. del sangue e degli organi ematop. ed alc. dist. imm.,1,3
2009-2017,084030,"Malattie endocrine, nutrizionali e metaboliche",37,52
2009-2017,084030,Diabete mellito,34,47
2009-2017,084030,Disturbi psichici e comportamentali,9,16
2009-2017,084030,Malattie del sistema nervoso e degli organi di senso,25,23
2009-2017,084030,Malattie del sistema circolatorio,213,260
2009-2017,084030,Malattie ischemiche del cuore,58,49
2009-2017,084030,Altre malattie del cuore,52,48
2009-2017,084030,Malattie cerebrovascolari,53,109
2009-2017,084030,Malattie del sistema respiratorio,41,31
2009-2017,084030,Polmonite,2,2
2009-2017,084030,Malattie croniche delle basse vie respiratorie,29,21
2009-2017,084030,Asma,1,2
2009-2017,084030,Malattie dell'apparato digerente,17,25
2009-2017,084030,Malattie epatiche croniche,13,17
2009-2017,084030,Malattie del sistema osteomuscolare e del tessuto connettivo,3,9
2009-2017,084030,Artrite reumatoide e osteoartrite,2,4
2009-2017,084030,Malattie del sistema genitourinario,19,10
2009-2017,084030,Malattie del rene e dell'uretere,17,10
2009-2017,084030,Alcune condizioni che hanno origine nel periodo perinatale,1,2
2009-2017,084030,Malformazioni congenite e anormalità cromosomiche,2,2
2009-2017,084030,Malformazioni congenite del sistema circolatorio,0,1
2009-2017,084030,"Sintomi, segni, risultati anomali e cause mal definite",18,24
2009-2017,084030,Cause esterne di traumatismo e avvelenamento,15,8
2009-2017,084030,Accidenti,10,8
2009-2017,084030,Accidenti di trasporto,4,0
2009-2017,084030,Cadute accidentali,2,8
2009-2017,084030,Suicidio e autolesione intenzionale,3,0
2009-2017,084030,"Omicidio, aggressione",1,0
2009-2017,084030,Eventi di intento indeterminato,1,0
2009-2017,084031,Malattie infettive e parassitarie,2,3
2009-2017,084031,Epatite virale,1,3
2009-2017,084031,Tumore,154,115
2009-2017,084031,Tumori maligni,153,113
2009-2017,084031,"Tumori maligni delle labbra, cavità orale e faringe",3,1
2009-2017,084031,Tumori maligni dell'esofago,1,0
2009-2017,084031,Tumori maligni dello stomaco,8,5
2009-2017,084031,Tumori maligni del colon,15,14
2009-2017,084031,Tumori maligni del retto e dell'ano,2,3
2009-2017,084031,Tumori maligni del fegato e dei dotti biliari intraepatici,25,11
2009-2017,084031,Tumori maligni del pancreas,4,12
2009-2017,084031,Tumori maligni della laringe e della trachea/bronchi/polm.,36,7
2009-2017,084031,Tumori maligni della cute,1,1
2009-2017,084031,Tumori maligni del seno,0,21
2009-2017,084031,Tumori maligni di altre parti dell'utero,0,5
2009-2017,084031,Tumori maligni dell'ovaio,0,4
2009-2017,084031,Tumori maligni della prostata,12,0
2009-2017,084031,Tumori maligni del rene,1,1
2009-2017,084031,Tumori maligni della vescica,12,1
2009-2017,084031,Tumori maligni del tessuto linfatico/ematopoietico,10,3
2009-2017,084031,"Malattie endocrine, nutrizionali e metaboliche",48,45
2009-2017,084031,Diabete mellito,47,44
2009-2017,084031,Disturbi psichici e comportamentali,5,7
2009-2017,084031,Abuso di alcool (compresa psicosi alcolica),0,1
2009-2017,084031,Malattie del sistema nervoso e degli organi di senso,16,13
2009-2017,084031,Malattie del sistema circolatorio,220,264
2009-2017,084031,Malattie ischemiche del cuore,84,67
2009-2017,084031,Altre malattie del cuore,32,52
2009-2017,084031,Malattie cerebrovascolari,75,95
2009-2017,084031,Malattie del sistema respiratorio,22,10
2009-2017,084031,Influenza,1,0
2009-2017,084031,Polmonite,2,0
2009-2017,084031,Malattie croniche delle basse vie respiratorie,14,7
2009-2017,084031,Malattie dell'apparato digerente,35,38
2009-2017,084031,"Ulcera dello stomaco, duodeno e digiuno",0,1
2009-2017,084031,Malattie epatiche croniche,27,30
2009-2017,084031,Malattie della pelle e del tessuto sottocutaneo,3,0
2009-2017,084031,Malattie del sistema osteomuscolare e del tessuto connettivo,0,4
2009-2017,084031,Artrite reumatoide e osteoartrite,0,1
2009-2017,084031,Malattie del sistema genitourinario,11,12
2009-2017,084031,Malattie del rene e dell'uretere,11,12
2009-2017,084031,Alcune condizioni che hanno origine nel periodo perinatale,1,1
2009-2017,084031,Malformazioni congenite e anormalità cromosomiche,1,1
2009-2017,084031,Malformazioni congenite del sistema nervoso,1,0
2009-2017,084031,"Sintomi, segni, risultati anomali e cause mal definite",6,4
2009-2017,084031,Cause esterne di traumatismo e avvelenamento,18,8
2009-2017,084031,Accidenti,10,7
2009-2017,084031,Accidenti di trasporto,4,2
2009-2017,084031,Cadute accidentali,4,4
2009-2017,084031,Suicidio e autolesione intenzionale,8,1
2009-2017,084032,Malattie infettive e parassitarie,0,2
2009-2017,084032,Tumore,55,34
2009-2017,084032,Tumori maligni,54,34
2009-2017,084032,"Tumori maligni delle labbra, cavità orale e faringe",2,0
2009-2017,084032,Tumori maligni dello stomaco,1,2
2009-2017,084032,Tumori maligni del colon,5,3
2009-2017,084032,Tumori maligni del retto e dell'ano,1,1
2009-2017,084032,Tumori maligni del fegato e dei dotti biliari intraepatici,0,3
2009-2017,084032,Tumori maligni del pancreas,3,3
2009-2017,084032,Tumori maligni della laringe e della trachea/bronchi/polm.,19,2
2009-2017,084032,Tumori maligni della cute,2,0
2009-2017,084032,Tumori maligni del seno,0,3
2009-2017,084032,Tumori maligni di altre parti dell'utero,0,1
2009-2017,084032,Tumori maligni dell'ovaio,0,2
2009-2017,084032,Tumori maligni della prostata,6,0
2009-2017,084032,Tumori maligni della vescica,4,1
2009-2017,084032,Tumori maligni del tessuto linfatico/ematopoietico,5,5
2009-2017,084032,Mal. del sangue e degli organi ematop. ed alc. dist. imm.,1,0
2009-2017,084032,"Malattie endocrine, nutrizionali e metaboliche",16,21
2009-2017,084032,Diabete mellito,15,21
2009-2017,084032,Disturbi psichici e comportamentali,6,7
2009-2017,084032,Malattie del sistema nervoso e degli organi di senso,9,9
2009-2017,084032,Malattie del sistema circolatorio,52,102
2009-2017,084032,Malattie ischemiche del cuore,21,21
2009-2017,084032,Altre malattie del cuore,6,12
2009-2017,084032,Malattie cerebrovascolari,10,34
2009-2017,084032,Malattie del sistema respiratorio,16,9
2009-2017,084032,Polmonite,1,4
2009-2017,084032,Malattie croniche delle basse vie respiratorie,12,2
2009-2017,084032,Malattie dell'apparato digerente,4,4
2009-2017,084032,"Ulcera dello stomaco, duodeno e digiuno",1,0
2009-2017,084032,Malattie epatiche croniche,2,2
2009-2017,084032,Malattie del sistema osteomuscolare e del tessuto connettivo,0,1
2009-2017,084032,Malattie del sistema genitourinario,7,7
2009-2017,084032,Malattie del rene e dell'uretere,7,7
2009-2017,084032,"Complicazioni della gravidanza, del parto e del puerperio",1,0
2009-2017,084032,Malformazioni congenite e anormalità cromosomiche,1,0
2009-2017,084032,"Sintomi, segni, risultati anomali e cause mal definite",5,6
2009-2017,084032,Cause esterne di traumatismo e avvelenamento,6,3
2009-2017,084032,Accidenti,3,1
2009-2017,084032,Accidenti di trasporto,1,0
2009-2017,084032,Cadute accidentali,1,0
2009-2017,084032,Suicidio e autolesione intenzionale,3,2
2009-2017,084033,Malattie infettive e parassitarie,5,0
2009-2017,084033,Tubercolosi,1,0
2009-2017,084033,Epatite virale,1,0
2009-2017,084033,Tumore,307,200
2009-2017,084033,Tumori maligni,304,197
2009-2017,084033,"Tumori maligni delle labbra, cavità orale e faringe",11,1
2009-2017,084033,Tumori maligni dell'esofago,1,1
2009-2017,084033,Tumori maligni dello stomaco,11,5
2009-2017,084033,Tumori maligni del colon,37,31
2009-2017,084033,Tumori maligni del retto e dell'ano,7,2
2009-2017,084033,Tumori maligni del fegato e dei dotti biliari intraepatici,12,14
2009-2017,084033,Tumori maligni del pancreas,9,9
2009-2017,084033,Tumori maligni della laringe e della trachea/bronchi/polm.,65,22
2009-2017,084033,Tumori maligni della cute,5,1
2009-2017,084033,Tumori maligni del seno,2,44
2009-2017,084033,Tumori maligni di altre parti dell'utero,0,15
2009-2017,084033,Tumori maligni dell'ovaio,0,3
2009-2017,084033,Tumori maligni della prostata,43,0
2009-2017,084033,Tumori maligni del rene,4,2
2009-2017,084033,Tumori maligni della vescica,25,2
2009-2017,084033,Tumori maligni del tessuto linfatico/ematopoietico,30,19
2009-2017,084033,Mal. del sangue e degli organi ematop. ed alc. dist. imm.,1,3
2009-2017,084033,"Malattie endocrine, nutrizionali e metaboliche",82,75
2009-2017,084033,Diabete mellito,80,73
2009-2017,084033,Disturbi psichici e comportamentali,40,46
2009-2017,084033,Abuso di alcool (compresa psicosi alcolica),1,1
2009-2017,084033,Malattie del sistema nervoso e degli organi di senso,34,32
2009-2017,084033,Malattie del sistema circolatorio,400,437
2009-2017,084033,Malattie ischemiche del cuore,155,138
2009-2017,084033,Altre malattie del cuore,61,49
2009-2017,084033,Malattie cerebrovascolari,97,108
2009-2017,084033,Malattie del sistema respiratorio,47,22
2009-2017,084033,Influenza,0,1
2009-2017,084033,Polmonite,3,1
2009-2017,084033,Malattie croniche delle basse vie respiratorie,35,12
2009-2017,084033,Asma,1,2
2009-2017,084033,Malattie dell'apparato digerente,19,22
2009-2017,084033,"Ulcera dello stomaco, duodeno e digiuno",1,1
2009-2017,084033,Malattie epatiche croniche,7,8
2009-2017,084033,Malattie della pelle e del tessuto sottocutaneo,1,0
2009-2017,084033,Malattie del sistema osteomuscolare e del tessuto connettivo,1,1
2009-2017,084033,Artrite reumatoide e osteoartrite,0,1
2009-2017,084033,Malattie del sistema genitourinario,20,8
2009-2017,084033,Malattie del rene e dell'uretere,19,8
2009-2017,084033,Alcune condizioni che hanno origine nel periodo perinatale,2,0
2009-2017,084033,Malformazioni congenite e anormalità cromosomiche,4,4
2009-2017,084033,Malformazioni congenite del sistema nervoso,0,1
2009-2017,084033,Malformazioni congenite del sistema circolatorio,1,1
2009-2017,084033,"Sintomi, segni, risultati anomali e cause mal definite",13,5
2009-2017,084033,Cause esterne di traumatismo e avvelenamento,24,16
2009-2017,084033,Accidenti,17,14
2009-2017,084033,Accidenti di trasporto,7,2
2009-2017,084033,Cadute accidentali,8,9
2009-2017,084033,Suicidio e autolesione intenzionale,4,2
2009-2017,084033,"Omicidio, aggressione",1,0
2009-2017,084033,Eventi di intento indeterminato,2,0
2009-2017,084034,Malattie infettive e parassitarie,0,2
2009-2017,084034,Tumore,109,86
2009-2017,084034,Tumori maligni,109,85
2009-2017,084034,"Tumori maligni delle labbra, cavità orale e faringe",3,2
2009-2017,084034,Tumori maligni dell'esofago,1,1
2009-2017,084034,Tumori maligni dello stomaco,2,0
2009-2017,084034,Tumori maligni del colon,12,20
2009-2017,084034,Tumori maligni del retto e dell'ano,0,1
2009-2017,084034,Tumori maligni del fegato e dei dotti biliari intraepatici,6,8
2009-2017,084034,Tumori maligni del pancreas,8,3
2009-2017,084034,Tumori maligni della laringe e della trachea/bronchi/polm.,24,10
2009-2017,084034,Tumori maligni della cute,0,2
2009-2017,084034,Tumori maligni del seno,0,9
2009-2017,084034,Tumori maligni di altre parti dell'utero,0,4
2009-2017,084034,Tumori maligni dell'ovaio,0,10
2009-2017,084034,Tumori maligni della prostata,19,0
2009-2017,084034,Tumori maligni della vescica,6,2
2009-2017,084034,Tumori maligni del tessuto linfatico/ematopoietico,12,6
2009-2017,084034,Mal. del sangue e degli organi ematop. ed alc. dist. imm.,2,1
2009-2017,084034,"Malattie endocrine, nutrizionali e metaboliche",20,22
2009-2017,084034,Diabete mellito,20,21
2009-2017,084034,Disturbi psichici e comportamentali,7,15
2009-2017,084034,Malattie del sistema nervoso e degli organi di senso,14,26
2009-2017,084034,Malattie del sistema circolatorio,187,226
2009-2017,084034,Malattie ischemiche del cuore,95,111
2009-2017,084034,Altre malattie del cuore,23,19
2009-2017,084034,Malattie cerebrovascolari,38,53
2009-2017,084034,Malattie del sistema respiratorio,17,10
2009-2017,084034,Polmonite,1,2
2009-2017,084034,Malattie croniche delle basse vie respiratorie,10,5
2009-2017,084034,Asma,1,0
2009-2017,084034,Malattie dell'apparato digerente,10,11
2009-2017,084034,Malattie epatiche croniche,7,6
2009-2017,084034,Malattie del sistema osteomuscolare e del tessuto connettivo,1,1
2009-2017,084034,Artrite reumatoide e osteoartrite,0,1
2009-2017,084034,Malattie del sistema genitourinario,7,6
2009-2017,084034,Malattie del rene e dell'uretere,7,6
2009-2017,084034,Alcune condizioni che hanno origine nel periodo perinatale,1,1
2009-2017,084034,Malformazioni congenite e anormalità cromosomiche,2,2
2009-2017,084034,Malformazioni congenite del sistema nervoso,1,0
2009-2017,084034,Malformazioni congenite del sistema circolatorio,0,1
2009-2017,084034,"Sintomi, segni, risultati anomali e cause mal definite",1,4
2009-2017,084034,Sindrome della morte improvvisa nell'infanzia,0,1
2009-2017,084034,Cause esterne di traumatismo e avvelenamento,12,6
2009-2017,084034,Accidenti,10,5
2009-2017,084034,Accidenti di trasporto,0,1
2009-2017,084034,Cadute accidentali,6,4
2009-2017,084034,Suicidio e autolesione intenzionale,2,1
2009-2017,084035,Malattie infettive e parassitarie,0,1
2009-2017,084035,Tumore,55,37
2009-2017,084035,Tumori maligni,55,35
2009-2017,084035,Tumori maligni dell'esofago,3,0
2009-2017,084035,Tumori maligni dello stomaco,2,3
2009-2017,084035,Tumori maligni del colon,4,7
2009-2017,084035,Tumori maligni del retto e dell'ano,2,0
2009-2017,084035,Tumori maligni del fegato e dei dotti biliari intraepatici,5,1
2009-2017,084035,Tumori maligni del pancreas,2,2
2009-2017,084035,Tumori maligni della laringe e della trachea/bronchi/polm.,9,5
2009-2017,084035,Tumori maligni della cute,1,1
2009-2017,084035,Tumori maligni del seno,0,6
2009-2017,084035,Tumori maligni dell'ovaio,0,1
2009-2017,084035,Tumori maligni della prostata,2,0
2009-2017,084035,Tumori maligni del rene,1,0
2009-2017,084035,Tumori maligni della vescica,3,1
2009-2017,084035,Tumori maligni del tessuto linfatico/ematopoietico,7,3
2009-2017,084035,Mal. del sangue e degli organi ematop. ed alc. dist. imm.,1,1
2009-2017,084035,"Malattie endocrine, nutrizionali e metaboliche",9,28
2009-2017,084035,Diabete mellito,9,28
2009-2017,084035,Disturbi psichici e comportamentali,3,6
2009-2017,084035,Malattie del sistema nervoso e degli organi di senso,3,6
2009-2017,084035,Malattie del sistema circolatorio,110,119
2009-2017,084035,Malattie ischemiche del cuore,35,22
2009-2017,084035,Altre malattie del cuore,17,21
2009-2017,084035,Malattie cerebrovascolari,31,47
2009-2017,084035,Malattie del sistema respiratorio,22,4
2009-2017,084035,Influenza,1,0
2009-2017,084035,Polmonite,1,1
2009-2017,084035,Malattie croniche delle basse vie respiratorie,17,1
2009-2017,084035,Malattie dell'apparato digerente,7,0
2009-2017,084035,"Ulcera dello stomaco, duodeno e digiuno",1,0
2009-2017,084035,Malattie epatiche croniche,5,0
2009-2017,084035,Malattie del sistema genitourinario,2,8
2009-2017,084035,Malattie del rene e dell'uretere,2,8
2009-2017,084035,Malformazioni congenite e anormalità cromosomiche,1,1
2009-2017,084035,Malformazioni congenite del sistema nervoso,1,1
2009-2017,084035,"Sintomi, segni, risultati anomali e cause mal definite",6,4
2009-2017,084035,Cause esterne di traumatismo e avvelenamento,7,1
2009-2017,084035,Accidenti,6,1
2009-2017,084035,Accidenti di trasporto,1,0
2009-2017,084035,Cadute accidentali,4,1
2009-2017,084035,Suicidio e autolesione intenzionale,1,0
2009-2017,084036,Malattie infettive e parassitarie,1,0
2009-2017,084036,Tubercolosi,1,0
2009-2017,084036,Tumore,103,75
2009-2017,084036,Tumori maligni,103,75
2009-2017,084036,"Tumori maligni delle labbra, cavità orale e faringe",2,0
2009-2017,084036,Tumori maligni dello stomaco,4,3
2009-2017,084036,Tumori maligni del colon,14,6
2009-2017,084036,Tumori maligni del retto e dell'ano,3,2
2009-2017,084036,Tumori maligni del fegato e dei dotti biliari intraepatici,4,2
2009-2017,084036,Tumori maligni del pancreas,6,5
2009-2017,084036,Tumori maligni della laringe e della trachea/bronchi/polm.,23,2
2009-2017,084036,Tumori maligni della cute,1,1
2009-2017,084036,Tumori maligni del seno,0,9
2009-2017,084036,Tumori maligni di altre parti dell'utero,0,6
2009-2017,084036,Tumori maligni dell'ovaio,0,5
2009-2017,084036,Tumori maligni della prostata,17,0
2009-2017,084036,Tumori maligni del rene,1,1
2009-2017,084036,Tumori maligni della vescica,10,1
2009-2017,084036,Tumori maligni del tessuto linfatico/ematopoietico,4,7
2009-2017,084036,Mal. del sangue e degli organi ematop. ed alc. dist. imm.,1,2
2009-2017,084036,"Malattie endocrine, nutrizionali e metaboliche",21,26
2009-2017,084036,Diabete mellito,21,24
2009-2017,084036,Disturbi psichici e comportamentali,3,9
2009-2017,084036,Malattie del sistema nervoso e degli organi di senso,6,9
2009-2017,084036,Malattie del sistema circolatorio,151,146
2009-2017,084036,Malattie ischemiche del cuore,51,38
2009-2017,084036,Altre malattie del cuore,36,23
2009-2017,084036,Malattie cerebrovascolari,25,29
2009-2017,084036,Malattie del sistema respiratorio,21,14
2009-2017,084036,Influenza,1,0
2009-2017,084036,Polmonite,1,3
2009-2017,084036,Malattie croniche delle basse vie respiratorie,13,5
2009-2017,084036,Malattie dell'apparato digerente,8,14
2009-2017,084036,"Ulcera dello stomaco, duodeno e digiuno",1,0
2009-2017,084036,Malattie epatiche croniche,3,10
2009-2017,084036,Malattie del sistema genitourinario,12,9
2009-2017,084036,Malattie del rene e dell'uretere,10,9
2009-2017,084036,Malformazioni congenite e anormalità cromosomiche,2,5
2009-2017,084036,Malformazioni congenite del sistema nervoso,0,1
2009-2017,084036,Malformazioni congenite del sistema circolatorio,0,1
2009-2017,084036,"Sintomi, segni, risultati anomali e cause mal definite",8,8
2009-2017,084036,Cause esterne di traumatismo e avvelenamento,19,12
2009-2017,084036,Accidenti,12,8
2009-2017,084036,Accidenti di trasporto,2,3
2009-2017,084036,Cadute accidentali,9,3
2009-2017,084036,Avvelenamento accidentale,1,1
2009-2017,084036,Suicidio e autolesione intenzionale,7,2
2009-2017,084036,"Omicidio, aggressione",0,2
2009-2017,084037,Malattie infettive e parassitarie,1,1
2009-2017,084037,Tubercolosi,1,0
2009-2017,084037,Tumore,41,20
2009-2017,084037,Tumori maligni,41,20
2009-2017,084037,"Tumori maligni delle labbra, cavità orale e faringe",1,1
2009-2017,084037,Tumori maligni dell'esofago,1,0
2009-2017,084037,Tumori maligni dello stomaco,3,0
2009-2017,084037,Tumori maligni del colon,4,3
2009-2017,084037,Tumori maligni del fegato e dei dotti biliari intraepatici,3,1
2009-2017,084037,Tumori maligni del pancreas,1,0
2009-2017,084037,Tumori maligni della laringe e della trachea/bronchi/polm.,13,1
2009-2017,084037,Tumori maligni della cute,1,0
2009-2017,084037,Tumori maligni del seno,0,3
2009-2017,084037,Tumori maligni di altre parti dell'utero,0,1
2009-2017,084037,Tumori maligni della prostata,2,0
2009-2017,084037,Tumori maligni della vescica,5,0
2009-2017,084037,Tumori maligni del tessuto linfatico/ematopoietico,3,1
2009-2017,084037,Mal. del sangue e degli organi ematop. ed alc. dist. imm.,1,2
2009-2017,084037,"Malattie endocrine, nutrizionali e metaboliche",11,13
2009-2017,084037,Diabete mellito,11,12
2009-2017,084037,Disturbi psichici e comportamentali,1,3
2009-2017,084037,Malattie del sistema nervoso e degli organi di senso,3,4
2009-2017,084037,Malattie del sistema circolatorio,42,50
2009-2017,084037,Malattie ischemiche del cuore,18,7
2009-2017,084037,Altre malattie del cuore,3,6
2009-2017,084037,Malattie cerebrovascolari,7,21
2009-2017,084037,Malattie del sistema respiratorio,11,3
2009-2017,084037,Polmonite,1,0
2009-2017,084037,Malattie croniche delle basse vie respiratorie,5,1
2009-2017,084037,Malattie dell'apparato digerente,7,4
2009-2017,084037,Malattie epatiche croniche,6,2
2009-2017,084037,Malattie del sistema genitourinario,3,3
2009-2017,084037,Malattie del rene e dell'uretere,3,3
2009-2017,084037,Alcune condizioni che hanno origine nel periodo perinatale,1,0
2009-2017,084037,Malformazioni congenite e anormalità cromosomiche,1,0
2009-2017,084037,Malformazioni congenite del sistema nervoso,1,0
2009-2017,084037,"Sintomi, segni, risultati anomali e cause mal definite",0,3
2009-2017,084037,Cause esterne di traumatismo e avvelenamento,5,2
2009-2017,084037,Accidenti,3,2
2009-2017,084037,Accidenti di trasporto,2,0
2009-2017,084037,Cadute accidentali,1,1
2009-2017,084037,Suicidio e autolesione intenzionale,1,0
2009-2017,084037,"Omicidio, aggressione",1,0
2009-2017,084038,Malattie infettive e parassitarie,0,1
2009-2017,084038,Tumore,112,77
2009-2017,084038,Tumori maligni,112,75
2009-2017,084038,"Tumori maligni delle labbra, cavità orale e faringe",0,1
2009-2017,084038,Tumori maligni dell'esofago,0,1
2009-2017,084038,Tumori maligni dello stomaco,1,2
2009-2017,084038,Tumori maligni del colon,15,12
2009-2017,084038,Tumori maligni del retto e dell'ano,2,1
2009-2017,084038,Tumori maligni del fegato e dei dotti biliari intraepatici,8,5
2009-2017,084038,Tumori maligni del pancreas,8,4
2009-2017,084038,Tumori maligni della laringe e della trachea/bronchi/polm.,35,10
2009-2017,084038,Tumori maligni della cute,1,0
2009-2017,084038,Tumori maligni del seno,0,12
2009-2017,084038,Tumori maligni di altre parti dell'utero,0,1
2009-2017,084038,Tumori maligni dell'ovaio,0,4
2009-2017,084038,Tumori maligni della prostata,10,0
2009-2017,084038,Tumori maligni del rene,2,1
2009-2017,084038,Tumori maligni della vescica,5,2
2009-2017,084038,Tumori maligni del tessuto linfatico/ematopoietico,9,6
2009-2017,084038,Mal. del sangue e degli organi ematop. ed alc. dist. imm.,1,1
2009-2017,084038,"Malattie endocrine, nutrizionali e metaboliche",26,30
2009-2017,084038,Diabete mellito,25,29
2009-2017,084038,Disturbi psichici e comportamentali,6,15
2009-2017,084038,Malattie del sistema nervoso e degli organi di senso,24,20
2009-2017,084038,Malattie del sistema circolatorio,141,187
2009-2017,084038,Malattie ischemiche del cuore,50,63
2009-2017,084038,Altre malattie del cuore,25,21
2009-2017,084038,Malattie cerebrovascolari,35,54
2009-2017,084038,Malattie del sistema respiratorio,30,11
2009-2017,084038,Influenza,2,0
2009-2017,084038,Polmonite,4,2
2009-2017,084038,Malattie croniche delle basse vie respiratorie,20,6
2009-2017,084038,Asma,1,0
2009-2017,084038,Malattie dell'apparato digerente,12,5
2009-2017,084038,"Ulcera dello stomaco, duodeno e digiuno",3,0
2009-2017,084038,Malattie epatiche croniche,5,4
2009-2017,084038,Malattie del sistema osteomuscolare e del tessuto connettivo,0,2
2009-2017,084038,Malattie del sistema genitourinario,10,6
2009-2017,084038,Malattie del rene e dell'uretere,10,6
2009-2017,084038,"Sintomi, segni, risultati anomali e cause mal definite",4,0
2009-2017,084038,Cause esterne di traumatismo e avvelenamento,7,8
2009-2017,084038,Accidenti,3,8
2009-2017,084038,Accidenti di trasporto,1,0
2009-2017,084038,Cadute accidentali,2,8
2009-2017,084038,Suicidio e autolesione intenzionale,4,0
2009-2017,084039,Tumore,14,10
2009-2017,084039,Tumori maligni,14,10
2009-2017,084039,Tumori maligni dello stomaco,0,1
2009-2017,084039,Tumori maligni del colon,4,1
2009-2017,084039,Tumori maligni del retto e dell'ano,0,2
2009-2017,084039,Tumori maligni della laringe e della trachea/bronchi/polm.,5,2
2009-2017,084039,Tumori maligni del seno,0,3
2009-2017,084039,Tumori maligni di altre parti dell'utero,0,1
2009-2017,084039,Tumori maligni del tessuto linfatico/ematopoietico,1,0
2009-2017,084039,Mal. del sangue e degli organi ematop. ed alc. dist. imm.,0,1
2009-2017,084039,"Malattie endocrine, nutrizionali e metaboliche",2,6
2009-2017,084039,Diabete mellito,2,6
2009-2017,084039,Disturbi psichici e comportamentali,0,1
2009-2017,084039,Malattie del sistema nervoso e degli organi di senso,4,7
2009-2017,084039,Malattie del sistema circolatorio,33,40
2009-2017,084039,Malattie ischemiche del cuore,10,15
2009-2017,084039,Altre malattie del cuore,6,4
2009-2017,084039,Malattie cerebrovascolari,7,9
2009-2017,084039,Malattie del sistema respiratorio,13,1
2009-2017,084039,Malattie croniche delle basse vie respiratorie,12,0
2009-2017,084039,Malattie dell'apparato digerente,1,2
2009-2017,084039,Malattie epatiche croniche,1,1
2009-2017,084039,Malattie del sistema genitourinario,2,2
2009-2017,084039,Malattie del rene e dell'uretere,2,2
2009-2017,084039,Malformazioni congenite e anormalità cromosomiche,1,0
2009-2017,084039,"Sintomi, segni, risultati anomali e cause mal definite",2,3
2009-2017,084039,Cause esterne di traumatismo e avvelenamento,0,1
2009-2017,084039,Accidenti,0,1
2009-2017,084039,Cadute accidentali,0,1
2009-2017,084040,Tumore,77,46
2009-2017,084040,Tumori maligni,74,46
2009-2017,084040,Tumori maligni dell'esofago,1,0
2009-2017,084040,Tumori maligni dello stomaco,1,3
2009-2017,084040,Tumori maligni del colon,8,3
2009-2017,084040,Tumori maligni del retto e dell'ano,3,0
2009-2017,084040,Tumori maligni del fegato e dei dotti biliari intraepatici,7,5
2009-2017,084040,Tumori maligni del pancreas,2,5
2009-2017,084040,Tumori maligni della laringe e della trachea/bronchi/polm.,18,6
2009-2017,084040,Tumori maligni della cute,1,0
2009-2017,084040,Tumori maligni del seno,1,8
2009-2017,084040,Tumori maligni di altre parti dell'utero,0,6
2009-2017,084040,Tumori maligni dell'ovaio,0,4
2009-2017,084040,Tumori maligni della prostata,13,0
2009-2017,084040,Tumori maligni della vescica,3,0
2009-2017,084040,Tumori maligni del tessuto linfatico/ematopoietico,7,2
2009-2017,084040,Mal. del sangue e degli organi ematop. ed alc. dist. imm.,2,2
2009-2017,084040,"Malattie endocrine, nutrizionali e metaboliche",15,18
2009-2017,084040,Diabete mellito,14,17
2009-2017,084040,Disturbi psichici e comportamentali,4,4
2009-2017,084040,Abuso di alcool (compresa psicosi alcolica),1,0
2009-2017,084040,Malattie del sistema nervoso e degli organi di senso,9,6
2009-2017,084040,Malattie del sistema circolatorio,134,141
2009-2017,084040,Malattie ischemiche del cuore,42,15
2009-2017,084040,Altre malattie del cuore,26,35
2009-2017,084040,Malattie cerebrovascolari,29,44
2009-2017,084040,Malattie del sistema respiratorio,23,19
2009-2017,084040,Influenza,0,1
2009-2017,084040,Polmonite,2,3
2009-2017,084040,Malattie croniche delle basse vie respiratorie,11,9
2009-2017,084040,Asma,0,2
2009-2017,084040,Malattie dell'apparato digerente,6,8
2009-2017,084040,Malattie epatiche croniche,2,6
